"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Stoke","Dampen"
"Ad Agency","From the Ashes",30,1984,150000,148016,4933,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Ad Agency","Set 'Em Straight",20,40790,350000,309210,15460,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Adult Store","Oh God, Yes",20,992,20000,19008,950,"Gasoline; Gasoline","Unknown","",""
"Adult Store","Claim to Flame",20,992,22000,21008,1050,"Gasoline; Gasoline","Unknown","",""
"Aircraft Hangar","Plane and Simple",35,101150,180000,78850,2252,"Methane Tank; Methane Tank; Methane Tank; Methane Tank","Unknown","Methane Tank (53s)",""
"Apartment","Hot Dog",20,41396,40000,-1396,-70,"Kerosene; Kerosene","Unknown","",""
"Apartment","A Dirty Job",15,20698,33000,12302,820,"Kerosene","Unknown","",""
"Apartment","Burning Liability",25,61185,170000,108815,4352,"Hydrogen Tank","Unknown","Hydrogen Tank (4s); Hydrogen Tank (1s)",""
"Apartment","Raze the Roof",25,61185,160000,98815,3952,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Apartment","Loud and Clear",20,992,210000,209008,10450,"Gasoline; Gasoline","Unknown","",""
"Apartment","Wet Behind the Ears",15,496,230000,229504,15300,"Gasoline","Unknown","",""
"Apartment","Low Rent",20,40790,90000,49210,2460,"Hydrogen Tank","Unknown","Hydrogen Tank (2s)",""
"Arcade","Insert Coin to Continue",20,40790,120000,79210,3960,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Arms Warehouse","Totally Armless",25,61185,110000,48815,1952,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Arms Warehouse","Smoke Without Fire",20,992,220000,219008,10950,"Gasoline; Gasoline","Unknown","",""
"Art Gallery","Charcoal Sketch",25,1488,40000,38512,1540,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Art Gallery","The Devil's in the Details",20,67865,140000,72135,3606,"Diesel; Magnesium Shavings","Unknown","",""
"Bank","Smoke Screen",25,1488,590000,588512,23540,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Bank","Hot on the Trail",20,992,460000,459008,22950,"Gasoline; Gasoline","Unknown","",""
"Barbershop","It Cuts Both Ways",15,20698,28000,7302,486,"Kerosene","Unknown","",""
"Barn","The Bolted Horse",30,112048,110000,-2048,-69,"Oxygen Tank; Oxygen Tank","Unknown","Oxygen Tank (47s); Oxygen Tank (25s)",""
"Bazaar","Bang For Your Buck",25,7979,53000,45021,1800,"Gasoline; Gasoline","Unknown","",""
"Bazaar","Anon Starter",15,496,24000,23504,1566,"Gasoline","Unknown","",""
"Bazaar","Risky Business",15,20395,35000,14605,973,"Hydrogen Tank","Unknown","",""
"Bazaar","A Mug's Game",20,9842,36000,26158,1307,"Diesel; Diesel","Unknown","",""
"Beach Hut","Beach Bum",20,992,20000,19008,950,"Gasoline; Gasoline","Unknown","",""
"Beach Hut","A Rash Decision",15,496,13000,12504,833,"Gasoline","Unknown","",""
"Beach Hut","Naked Aggression",20,20698,33000,12302,615,"Kerosene","Unknown","Unknown (101s)",""
"Bookies","Hot out of the Gate",25,14993,91000,76007,3040,"Gasoline; Gasoline","Unknown","",""
"Bookies","Improving the Odds",25,72786,310000,237214,9488,"Diesel; Diesel; Magnesium Shavings","Unknown","",""
"Bordello","Hell Fire",45,29996,210000,180004,4000,"Gasoline; Gasoline; Oxygen Tank","Unknown","Unknown (8s); Gasoline (10s); Unknown (58s); Gasoline (16s)",""
"Bordello","Milk Milk, Lemonade",15,496,180000,179504,11966,"Gasoline","Unknown","",""
"Bordello","Lover's Quarrel",20,992,27000,26008,1300,"Gasoline","Unknown","Gasoline (8s)",""
"Bordello","Camera Tricks",35,1984,100000,98016,2800,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (Crit) (71s)",""
"Bowling Alley","Strike While it's Hot",25,61185,300000,238815,9552,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (1s)",""
"Bungalow","For Closure",30,1984,44000,42016,1400,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Bungalow","Open House",15,496,64000,63504,4233,"Gasoline","Unknown","",""
"Bungalow","That Place Is History",25,1488,120000,118512,4740,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Bungalow","Burning Memory",15,20698,16000,-4698,-314,"Kerosene","Unknown","",""
"Bus Terminal","End of the Line",30,1984,110000,108016,3600,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Bus Terminal","Beggars Can't be Choosers",45,174787,550000,375213,8338,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Thermite; Magnesium Shavings","Unknown","",""
"Cafe","Long Pig",15,496,150000,149504,9966,"Gasoline","Unknown","",""
"Cafe","Cold Brew Reality",25,61185,160000,98815,3952,"Hydrogen Tank","Unknown","Hydrogen Tank (7s); Hydrogen Tank (2s)",""
"Candle Shop","A Treat for the Tricked",30,82757,110000,27243,908,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Candle Shop","Rest in Peace",15,496,24000,23504,1566,"Gasoline","Unknown","",""
"Car Showroom","Emotional Wreck",35,1984,130000,128016,3657,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (69s)",""
"Car Showroom","Bright Spark",25,61185,310000,248815,9952,"Hydrogen Tank","Unknown","Hydrogen Tank (5s); Hydrogen Tank (1s)",""
"Car Wash","Out in the Wash",20,992,250000,249008,12450,"Gasoline; Gasoline","Unknown","",""
"Casino","House Edge",25,1488,170000,168512,6740,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Casino","Burn the Deck",25,1488,78000,76512,3060,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Casino","House of Cards",25,61185,620000,558815,22352,"Hydrogen Tank","Unknown","Hydrogen Tank (3s); Hydrogen Tank (1s)",""
"Castle","Where There's a Will",30,53662,57000,3338,111,"Gasoline; Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Chemical Plant","Gay Frogs",20,992,23000,22008,1100,"Gasoline; Gasoline","Unknown","",""
"Chiropractors Office","Back, Sack, and Crack",20,40790,320000,279210,13960,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Church","Carrying a Torch",20,41396,66000,24604,1230,"Kerosene; Kerosene","Unknown","",""
"Church","Visions of the Savory",25,41999,120000,78001,3120,"Kerosene; Kerosene","Unknown","",""
"Church","Holy Smokes",20,40790,104000,63210,3160,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cinema","Final Cut",25,1488,170000,168512,6740,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Cinema","Burn After Screening",20,992,110000,109008,5450,"Gasoline; Gasoline","Unknown","",""
"Cleaning Agency","Clean Sweep",30,1488,150000,148512,4950,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (88s)",""
"Clock Tower","Cooking Time",30,77707,350000,272293,9076,"Diesel; Diesel; Magnesium Shavings","Unknown","Diesel (64s)",""
"Clothing Store","Hot Trend",15,20395,68000,47605,3173,"Hydrogen Tank","Unknown","",""
"Clothing Store","All Mouth and Trousers",20,3133,55000,51867,2593,"Gasoline","Unknown","",""
"College","The Midnight Oil",30,1984,88000,86016,2867,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"College","The Fat is in the Fire",40,2480,360000,357520,8938,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (91s)",""
"College","Igniting Curiosity",35,14941,280000,265059,7573,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Community Center","Third-Degree Burn",15,496,19000,18504,1233,"Gasoline","Unknown","",""
"Cottage","Dead Giveaway",20,40790,72000,31210,1560,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cottage","Local Concerns",30,53166,39000,-14166,-473,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
