"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Stoke","Dampen"
"Ad Agency","From the Ashes",30,2164,120000,117836,3927,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Ad Agency","Set 'Em Straight",25,28211,320000,291789,11671,"Gasoline; Hydrogen Tank","Unknown","Hydrogen Tank (4s)",""
"Adult Store","Oh God, Yes",20,1082,41000,39918,1995,"Gasoline; Gasoline","Unknown","",""
"Adult Store","Claim to Flame",20,1082,43000,41918,2095,"Gasoline; Gasoline","Unknown","",""
"Aircraft Hangar","Plane and Simple",90,111578,170000,58422,649,"Potassium Nitrate; Methane Tank; Methane Tank; Methane Tank; Methane Tank","Unknown","Unknown (57s); Unknown (4s); Unknown (2s); Unknown (6s); Unknown (7s); Unknown (8s); Unknown (1s); Unknown (5s); Unknown (8s); Unknown (5s); Unknown (1s)",""
"Apartment","Hot Dog",15,541,29000,28459,1897,"Gasoline","Unknown","",""
"Apartment","A Dirty Job",20,1082,43000,41918,2095,"Gasoline; Gasoline","Unknown","",""
"Apartment","Burning Liability",15,13835,57000,43165,2877,"Hydrogen Tank","Unknown","",""
"Apartment","Raze the Roof",15,13835,54000,40165,2677,"Hydrogen Tank","Unknown","",""
"Apartment","Loud and Clear",20,1082,210000,208918,10445,"Gasoline; Gasoline","Unknown","",""
"Apartment","Wet Behind the Ears",20,541,250000,249459,12472,"Gasoline","Unknown","Unknown (1s)",""
"Apartment","Low Rent",15,5163,41000,35837,2389,"Diesel","Unknown","",""
"Arcade","Insert Coin to Continue",15,13835,53000,39165,2611,"Hydrogen Tank","Unknown","",""
"Arms Warehouse","Totally Armless",25,76098,120000,43902,1756,"Kerosene; Kerosene; Potassium Nitrate","Unknown","",""
"Arms Warehouse","Smoke Without Fire",20,1082,210000,208918,10445,"Gasoline; Gasoline","Unknown","",""
"Art Gallery","Charcoal Sketch",25,1623,68000,66377,2655,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Art Gallery","The Devil's in the Details",20,72038,160000,87962,4398,"Diesel; Magnesium Shavings","Unknown","",""
"Bank","Smoke Screen",25,1623,560000,558377,22335,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Bank","Hot on the Trail",20,1082,460000,458918,22945,"Gasoline; Gasoline","Unknown","",""
"Barbershop","It Cuts Both Ways",20,1082,29000,27918,1395,"Gasoline; Gasoline","Unknown","",""
